"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
609.00,"OO","SkyWest Airlines Inc.",11778,"FSM","Fort Smith, AR",11298,"DFW","Dallas/Fort Worth, TX","631",12,
609.00,"MQ","Envoy Air",13930,"ORD","Chicago, IL",11003,"CID","Cedar Rapids/Iowa City, IA","676",12,
609.00,"YX","Republic Airline",10397,"ATL","Atlanta, GA",13930,"ORD","Chicago, IL","677",12,
609.00,"YX","Republic Airline",11292,"DEN","Denver, CO",10140,"ABQ","Albuquerque, NM","673",12,
609.00,"YX","Republic Airline",11292,"DEN","Denver, CO",14683,"SAT","San Antonio, TX","673",12,
609.00,"YX","Republic Airline",11292,"DEN","Denver, CO",14893,"SMF","Sacramento, CA","673",12,
609.00,"G4","Allegiant Air",11823,"FWA","Fort Wayne, IN",10466,"AZA","Phoenix, AZ","694",12,
609.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",11423,"DSM","Des Moines, IA","888",12,
609.00,"UA","United Air Lines Inc.",14635,"RSW","Fort Myers, FL",12264,"IAD","Washington, DC","698",12,
610.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",11298,"DFW","Dallas/Fort Worth, TX","608",12,
610.00,"OH","PSA Airlines Inc.",11057,"CLT","Charlotte, NC",14683,"SAT","San Antonio, TX","638",12,
610.00,"G4","Allegiant Air",13230,"MDT","Harrisburg, PA",10693,"BNA","Nashville, TN","694",12,
610.00,"QX","Horizon Air",14831,"SJC","San Jose, CA",14908,"SNA","Santa Ana, CA","673",12,
610.00,"B6","JetBlue Airways",10849,"BZN","Bozeman, MT",12954,"LGB","Long Beach, CA","694",12,
610.00,"G7","GoJet Airlines LLC d/b/a United Express",11618,"EWR","Newark, NJ",11433,"DTW","Detroit, MI","631",12,
611.00,"F9","Frontier Airlines Inc.",13244,"MEM","Memphis, TN",13204,"MCO","Orlando, FL","722",12,
611.00,"AA","American Airlines Inc.",14107,"PHX","Phoenix, AZ",14679,"SAN","San Diego, CA","614",12,
611.00,"MQ","Envoy Air",11057,"CLT","Charlotte, NC",10868,"CAE","Columbia, SC","676",12,
611.00,"AS","Alaska Airlines Inc.",12892,"LAX","Los Angeles, CA",11618,"EWR","Newark, NJ","614",12,
611.00,"YX","Republic Airline",12478,"JFK","New York, NY",11057,"CLT","Charlotte, NC","673",12,
611.00,"G4","Allegiant Air",11996,"GSP","Greer, SC",14761,"SFB","Sanford, FL","698",12,
611.00,"C5","Commutair Aka Champlain Enterprises, Inc.",14685,"SAV","Savannah, GA",12264,"IAD","Washington, DC","675",12,
612.00,"EV","ExpressJet Airlines LLC",13244,"MEM","Memphis, TN",11618,"EWR","Newark, NJ","675",12,
612.00,"WN","Southwest Airlines Co.",10529,"BDL","Hartford, CT",14635,"RSW","Fort Myers, FL","614",12,
612.00,"OO","SkyWest Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",11267,"DAY","Dayton, OH","631",12,
612.00,"PT","Piedmont Airlines",11278,"DCA","Washington, DC",10994,"CHS","Charleston, SC","675",12,
612.00,"YX","Republic Airline",13930,"ORD","Chicago, IL",15376,"TUS","Tucson, AZ","673",12,
