Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
Atlanta-Sandy Springs-Alpharetta GA MSA
01-20, 1, 6020364, 0, 0, 0
01-20, 1, 6021141, 0, 0, 0
01-20, 2, 6021138, 3, 0, 0
01-20, 2, 6021914, 4, 0, 0
01-20, 3, 6021907, 10, 1, 0
01-20, 3, 6022683, 10, 2, 0
01-20, 4, 6022681, 7, 7, 0
01-20, 4, 6023457, 8, 7, 0
01-20, 5, 6023452, 12, 8, 0
01-20, 5, 6024226, 14, 9, 0
01-20, 6, 6024220, 16, 12, 1
01-20, 6, 6024996, 16, 13, 1
01-20, 7, 6024988, 18, 17, 3
01-20, 7, 6025764, 18, 18, 3
01-20, 8, 6025759, 17, 23, 4
01-20, 8, 6026537, 17, 22, 4
01-20, 9, 6026528, 20, 27, 5
01-20, 9, 6027305, 20, 28, 4
01-20, 10, 6027299, 18, 36, 4
01-20, 10, 6028074, 18, 38, 4
01-20, 11, 6028068, 17, 43, 6
01-20, 11, 6028847, 18, 42, 4
01-20, 12, 6028841, 18, 45, 7
01-20, 12, 6029619, 18, 44, 7
01-20, 13, 6029611, 15, 53, 9
01-20, 13, 6030390, 15, 52, 8
01-20, 14, 6030386, 11, 58, 10
01-20, 14, 6031164, 10, 58, 10
01-20, 15, 6031157, 13, 59, 13
01-20, 15, 6031932, 13, 61, 13
01-20, 16, 6031923, 18, 64, 14
01-20, 16, 6032698, 17, 67, 14
01-20, 17, 6032687, 24, 70, 15
01-20, 17, 6033462, 23, 73, 15
01-20, 18, 6033450, 27, 80, 16
01-20, 18, 6034226, 25, 83, 16
01-20, 19, 6034214, 26, 93, 17
01-20, 19, 6034989, 25, 95, 18
01-20, 20, 6034981, 21, 105, 20
01-20, 20, 6035759, 20, 105, 20
01-20, 21, 6035748, 21, 112, 23
01-20, 21, 6036527, 20, 112, 22
01-20, 22, 6036513, 26, 116, 26
01-20, 22, 6037292, 24, 116, 26
01-20, 23, 6037275, 30, 124, 29
01-20, 23, 6038052, 28, 125, 30
01-20, 24, 6038041, 27, 129, 38
01-20, 24, 6038819, 27, 128, 38
01-20, 25, 6038806, 34, 128, 44
01-20, 25, 6039588, 34, 124, 43
01-20, 26, 6039581, 27, 132, 49
01-20, 26, 6040358, 29, 132, 47
01-20, 27, 6040340, 32, 144, 50
01-20, 27, 6041120, 32, 141, 50
01-20, 28, 6041107, 33, 148, 55
01-20, 28, 6041884, 33, 150, 53
01-20, 29, 6041875, 31, 156, 58
01-20, 29, 6042652, 32, 154, 59
01-20, 30, 6042636, 39, 158, 64
01-20, 30, 6043414, 40, 156, 64
01-20, 31, 6043398, 41, 167, 68
Phoenix-Mesa-Chandler AZ MSA
01-20, 1, 4948203, 0, 0, 0
01-20, 1, 4946537, 0, 0, 0
01-20, 2, 4946528, 9, 0, 0
01-20, 2, 4944862, 9, 0, 0
01-20, 3, 4944855, 13, 3, 0
01-20, 3, 4943188, 14, 3, 0
